Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,0111941484552959","-0,0368458795873965","0,215654266051241",0,0,0,"1,36786443462294","0,00319634955740371","-1,60882455550443E-08","1,653324392476E-08","0,00601731472918889","4,74472482698139E-06","0,00319515652843736",0,0,0,0,0,0,package://yaren_description/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://yaren_description/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,"-0,0005406","0,03067","1,1225E-05",0,0,0,"0,2613","0,00014283","-8,1832E-07","-7,2665E-08","0,0002383","2,7932E-08","0,00019886",0,0,0,0,0,0,package://yaren_description/meshes/Link_1.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://yaren_description/meshes/Link_1.STL,,Link_1-1,Origin_Joint_1,Eje1,Joint_1,continuous,"-0,011194","-0,21508","0,020523","1,5708",0,"1,5708",base_link,0,1,0,8,3,"-0,7853","0,7853",,,,,,,,
Link_2,"-0,000190222232464078","0,0708879423019347","0,000625518405545505",0,0,0,"0,752173682094854","0,00132133401185399","2,62707187219377E-06","-3,81385205187914E-07","0,00295410852126555","3,20008645844586E-06","0,00376203398380604",0,0,0,0,0,0,package://yaren_description/meshes/Link_2.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://yaren_description/meshes/Link_2.STL,,Link_2-1,Origin_Joint_2,Eje3,Joint_2,continuous,0,"0,0715",0,0,"1,5708",0,Link_1,0,0,-1,8,3,"-0,5235","0,5235",,,,,,,,
Link_3,"0,000495971669348293","-0,0119998498234008","0,0204959038479089",0,0,0,"0,0569176449626117","1,43924905181448E-05","5,82487770418226E-10","3,44003420258986E-07","1,02302750414368E-05","-7,69908311920794E-10","1,43925070402999E-05",0,0,0,0,0,0,package://yaren_description/meshes/Link_3.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://yaren_description/meshes/Link_3.STL,,Link_3-1,Origin_Joint_3,Eje4,Joint_3,continuous,0,"0,1145","-0,012","-1,5708",0,0,Link_2,0,0,1,"1,6",3,"-0,5235","0,5235",,,,,,,,
Link_4,"0,0257730881315095","0,110638538546991","-2,15593630046793E-05",0,0,0,"0,654995275916393","0,00271318373791796","-0,000252216333937308","3,36179957582485E-08","0,00217737319159254","-8,29088092668815E-08","0,00164342941943313",0,0,0,0,0,0,package://yaren_description/meshes/Link_4.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://yaren_description/meshes/Link_4.STL,,Link_4-1,Origin_Joint_4,Eje5,Joint_4,continuous,0,"-0,024","0,02","1,5708",0,"1,5708",Link_3,0,0,-1,"1,6",3,"-0,2617","0,7853",,,,,,,,
Link_5,"-0,0259375957022937","-0,00908743775212059","0,000103197554779999",0,0,0,"0,0584361592248743","4,61729756791954E-05","7,84451983246522E-06","3,48634553727113E-08","4,22765133678202E-05","4,9258866345132E-08","4,20873707387468E-05",0,0,0,0,0,0,package://yaren_description/meshes/Link_5.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://yaren_description/meshes/Link_5.STL,,Link_5-1,Origin_Joint_5,Eje6,Joint_5,continuous,"0,10575","0,09925",0,"3,1416",0,"3,1416",Link_2,-1,0,0,"1,6",3,"-0,7853","1,5708",,,,,,,,
Link_6,"0,00049597","-0,012","0,0009664",0,0,0,"0,056918","1,4392E-05","5,8249E-10","3,44E-07","1,023E-05","-7,6991E-10","1,4393E-05",0,0,0,0,0,0,package://yaren_description/meshes/Link_6.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://yaren_description/meshes/Link_6.STL,,Link_7-1,Origin_Joint_6,Eje7,Joint_6,continuous,"-0,031746","-0,0195",0,0,0,"-1,5708",Link_5,0,0,-1,"1,6",3,0,"1,0472",,,,,,,,
Link_7,"0,054314","-0,00044243","0,0001739",0,0,0,"0,11298","3,5352E-05","1,8584E-06","-1,6775E-07","6,1931E-05","7,6246E-08","6,332E-05",0,0,0,0,0,0,package://yaren_description/meshes/Link_7.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://yaren_description/meshes/Link_7.STL,,Link_9-1,Origin_Joint_7,Eje8,Joint_7,continuous,"0,019","-0,024","0,00047052","1,5708",0,0,Link_6,-1,0,0,"1,6",3,"-0,7853","0,7853",,,,,,,,
Link_8,"-0,0406501147947644","-0,00104645226824338","-0,00681375552158017",0,0,0,"0,0489075786054985","1,84365898866349E-05","-2,71874728346205E-06","3,04771644692066E-06","3,91073424807853E-05","1,74082743559878E-07","4,33443091972181E-05",0,0,0,0,0,0,package://yaren_description/meshes/Link_8.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://yaren_description/meshes/Link_8.STL,,Link_11-1/ForeArm_Right-1;Link_11-1/hand_right-1,Origin_Joint_8,Eje9,Joint_8,continuous,"0,09125",0,0,"1,5708",0,"-2,9337",Link_7,0,1,0,"1,6",3,"0,1745","1,5708",,,,,,,,
Link_9,"-0,0259376058181659","-0,00908742969104881","0,000103191384414891",0,0,0,"0,0584361879389782","4,61729927569023E-05","7,8445262778698E-06","3,48491072940375E-08","4,22765448632234E-05","4,92631426665094E-08","4,20874015682008E-05",0,0,0,0,0,0,package://yaren_description/meshes/Link_9.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://yaren_description/meshes/Link_9.STL,,Link_6-1,Origin_Joint_9,Eje10,Joint_9,continuous,"-0,105754230884312","0,0992500000000003",0,0,0,0,Link_2,1,0,0,"1,6",3,"-0,7853","1,5708",,,,,,,,
Link_10,"0,000495971821796476","-0,0119998501814707","-3,36042384202762E-05",0,0,0,"0,0569176449626118","1,43924905181448E-05","5,82487770418555E-10","3,44003420258988E-07","1,02302750414368E-05","-7,69908311916828E-10","1,43925070402999E-05",0,0,0,0,0,0,package://yaren_description/meshes/Link_10.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://yaren_description/meshes/Link_10.STL,,Link_8-1,Origin_Joint_10,Eje11,Joint_10,continuous,"-0,031745769115688","-0,0195",0,0,0,"-1,5707963267949",Link_9,0,0,-1,"1,6",3,0,"1,0472",,,,,,,,
Link_11,"0,0543141046649694","-0,000442428552246021","0,000173899794023963",0,0,0,"0,112981340262659","3,53515307711419E-05","1,85838536575219E-06","-1,6774927411348E-07","6,19311405547795E-05","7,62455333737013E-08","6,3319777994899E-05",0,0,0,0,0,0,package://yaren_description/meshes/Link_11.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://yaren_description/meshes/Link_11.STL,,Link_10-1,Origin_Joint_11,Eje12,Joint_11,continuous,"0,0190000001524479","-0,0240000007161399","-0,000529483238776968","-1,5707963267949",0,0,Link_10,-1,0,0,"1,6",3,"-0,7853","0,7853",,,,,,,,
Link_12,"-0,03802","0,0036356","-0,0065218",0,0,0,"0,040449","1,5216E-05","2,5355E-06","2,6893E-06","3,2043E-05","-2,2072E-07","3,5871E-05",0,0,0,0,0,0,package://yaren_description/meshes/Link_12.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://yaren_description/meshes/Link_12.STL,,Link_12-1/ForeArm_Left-1;Link_12-1/hand_left-2,Origin_Joint_12,Eje13,Joint_12,continuous,"0,09125",0,0,"1,5707963267949",0,"-2,91667493011268",Link_11,0,1,0,"1,6",3,"0,1745","1,5708",,,,,,,,
